$ ./sendfile -r amber.clear.rice.edu:18004 -f data/data1M.txt
the total_file_length is 1288890
the datasize is 1400
the total count is 921
[SEND SUCCESS] Send the filepathf/filename successfully
[RECEVE ACK SUCCESS] Receive the ack number of filepath/filename successfully
-------- [BEGIN TRANSFERRING] --------
[SEND DATA] 308000 (1400) Seq(221)
[SEND DATA] 309400 (1400) Seq(222)
[SEND DATA] 310800 (1400) Seq(223)
[SEND DATA] 312200 (1400) Seq(224)
[SEND DATA] 313600 (1400) Seq(225)
[SEND DATA] 315000 (1400) Seq(226)
[SEND DATA] 316400 (1400) Seq(227)
[SEND DATA] 317800 (1400) Seq(228)
[SEND DATA] 319200 (1400) Seq(229)
[SEND DATA] 320600 (1400) Seq(230)
[SEND DATA] 322000 (1400) Seq(231)
[SEND DATA] 323400 (1400) Seq(232)
[SEND DATA] 324800 (1400) Seq(233)
[SEND DATA] 326200 (1400) Seq(234)
[SEND DATA] 327600 (1400) Seq(235)
[SEND DATA] 329000 (1400) Seq(236)
[SEND DATA] 330400 (1400) Seq(237)
[SEND DATA] 331800 (1400) Seq(238)
[SEND DATA] 333200 (1400) Seq(239)
[SEND DATA] 334600 (1400) Seq(240)
[SEND DATA] 336000 (1400) Seq(241)
[SEND DATA] 337400 (1400) Seq(242)
[SEND DATA] 338800 (1400) Seq(243)
[SEND DATA] 340200 (1400) Seq(244)
[SEND DATA] 341600 (1400) Seq(245)
[SEND DATA] 343000 (1400) Seq(246)
[SEND DATA] 344400 (1400) Seq(247)
[SEND DATA] 345800 (1400) Seq(248)
[SEND DATA] 347200 (1400) Seq(249)
[SEND DATA] 348600 (1400) Seq(250)
[SEND DATA] 350000 (1400) Seq(251)
[SEND DATA] 351400 (1400) Seq(252)
[SEND DATA] 352800 (1400) Seq(253)
[SEND DATA] 354200 (1400) Seq(254)
[SEND DATA] 355600 (1400) Seq(255)
[SEND DATA] 357000 (1400) Seq(256)
[SEND DATA] 358400 (1400) Seq(257)
[SEND DATA] 359800 (1400) Seq(258)
[SEND DATA] 361200 (1400) Seq(259)
[SEND DATA] 362600 (1400) Seq(260)
[SEND DATA] 364000 (1400) Seq(261)
[SEND DATA] 365400 (1400) Seq(262)
[SEND DATA] 366800 (1400) Seq(263)
[SEND DATA] 368200 (1400) Seq(264)
[SEND DATA] 369600 (1400) Seq(265)
[SEND DATA] 371000 (1400) Seq(266)
[SEND DATA] 372400 (1400) Seq(267)
[SEND DATA] 373800 (1400) Seq(268)
[SEND DATA] 375200 (1400) Seq(269)
[SEND DATA] 376600 (1400) Seq(270)
[SEND DATA] 378000 (1400) Seq(271)
[SEND DATA] 379400 (1400) Seq(272)
[SEND DATA] 380800 (1400) Seq(273)
[SEND DATA] 382200 (1400) Seq(274)
[SEND DATA] 383600 (1400) Seq(275)
[SEND DATA] 385000 (1400) Seq(276)
[SEND DATA] 386400 (1400) Seq(277)
[SEND DATA] 387800 (1400) Seq(278)
[SEND DATA] 389200 (1400) Seq(279)
[SEND DATA] 390600 (1400) Seq(280)
[SEND DATA] 392000 (1400) Seq(281)
[SEND DATA] 393400 (1400) Seq(282)
[SEND DATA] 394800 (1400) Seq(283)
[SEND DATA] 396200 (1400) Seq(284)
[SEND DATA] 397600 (1400) Seq(285)
[SEND DATA] 399000 (1400) Seq(286)
[SEND DATA] 400400 (1400) Seq(287)
[SEND DATA] 401800 (1400) Seq(288)
[SEND DATA] 403200 (1400) Seq(289)
[SEND DATA] 404600 (1400) Seq(290)
[SEND DATA] 406000 (1400) Seq(291)
[SEND DATA] 407400 (1400) Seq(292)
[SEND DATA] 408800 (1400) Seq(293)
[SEND DATA] 410200 (1400) Seq(294)
[SEND DATA] 411600 (1400) Seq(295)
[SEND DATA] 413000 (1400) Seq(296)
[SEND DATA] 414400 (1400) Seq(297)
[SEND DATA] 415800 (1400) Seq(298)
[SEND DATA] 417200 (1400) Seq(299)
[SEND DATA] 418600 (1400) Seq(300)
[SEND DATA] 420000 (1400) Seq(301)
[SEND DATA] 421400 (1400) Seq(302)
[SEND DATA] 422800 (1400) Seq(303)
[SEND DATA] 424200 (1400) Seq(304)
[SEND DATA] 425600 (1400) Seq(305)
[SEND DATA] 427000 (1400) Seq(306)
[SEND DATA] 428400 (1400) Seq(307)
[SEND DATA] 429800 (1400) Seq(308)
[SEND DATA] 431200 (1400) Seq(309)
[SEND DATA] 432600 (1400) Seq(310)
[SEND DATA] 434000 (1400) Seq(311)
[SEND DATA] 435400 (1400) Seq(312)
[SEND DATA] 436800 (1400) Seq(313)
[SEND DATA] 438200 (1400) Seq(314)
[SEND DATA] 439600 (1400) Seq(315)
[SEND DATA] 441000 (1400) Seq(316)
[SEND DATA] 442400 (1400) Seq(317)
[SEND DATA] 443800 (1400) Seq(318)
[SEND DATA] 445200 (1400) Seq(319)
[SEND DATA] 446600 (1400) Seq(320)
[SEND DATA] 448000 (1400) Seq(321)
[SEND DATA] 449400 (1400) Seq(322)
[SEND DATA] 450800 (1400) Seq(323)
[SEND DATA] 452200 (1400) Seq(324)
[SEND DATA] 453600 (1400) Seq(325)
[SEND DATA] 455000 (1400) Seq(326)
[SEND DATA] 456400 (1400) Seq(327)
[SEND DATA] 457800 (1400) Seq(328)
[SEND DATA] 459200 (1400) Seq(329)
